C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:01

maintype = G & redshift >0 & Distance.distance <  40 & Distance.distance  >= 30 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 664

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
527;ESO 8-7                            ;G  ;2513.8      ;0.008421    ;2524.43     ;    1;   34.83    Mpc ;                       ;        ;2016AJ....152...50T
528;ESO 10-4                           ;G  ;2444.4      ;0.008187    ;2454.45     ;    1;   36.64    Mpc ;                       ;        ;2016AJ....152...50T
529;ESO 11-5                           ;G  ;2974.3      ;0.009971    ;2989.20     ;    1;   50.58    Mpc ;  -6.60       +6.60    ;T-F     ;2020ApJ...902..145K
530;NGC 7661                           ;G  ;2036.2      ;0.006815    ;2043.16     ;    1;   32       Mpc ;  -6          +6       ;T-F     ;2008ApJ...676..184T
531;ESO 22-3                           ;G  ;2733.6      ;0.009160    ;2746.18     ;    1;   34.67    Mpc ;  -4.99       +4.99    ;T-F     ;2020ApJ...902..145K
532;ESO 9-1                            ;G  ;2566.0      ;0.008596    ;2577.08     ;    1;   33.73    Mpc ;  -4.71       +4.71    ;T-F     ;2020ApJ...902..145K
533;ESO 48-17                          ;G  ;2913.4      ;0.009766    ;2927.69     ;    1;   34.51    Mpc ;  -6.83       +6.83    ;T-F     ;2020ApJ...902..145K
534;IC 5249                            ;G  ;2377.3      ;0.007962    ;2386.80     ;    1;   30.06    Mpc ;  -3.52       +3.52    ;T-F     ;2020ApJ...902..145K
535;IC 5328                            ;G  ;3063        ;0.010270    ;3078.87     ;    1;   37.15    Mpc ;                       ;        ;2016AJ....152...50T
536;IC 5026                            ;G  ;2738.1      ;0.009175    ;2750.72     ;    1;  633.192   pc  ; -24.0559    +24.0559  ;paral   ;2020yCat.1350....0G
537;NGC 7098                           ;G  ;2369.7      ;0.007936    ;2379.14     ;    1;   34.0     Mpc ;                       ;redshift;2006ApJS..165..307M
538;NGC 7216                           ;G  ;3460        ;0.011608    ;3479.99     ;    1;   31.48    Mpc ;                       ;        ;2016AJ....152...50T
539;ESO 268-44                         ;G  ;3463.7      ;0.011621    ;3483.94     ;    1;   37.15    Mpc ;  -3.01       +3.01    ;T-F     ;2020ApJ...902..145K
540;NGC 5833                           ;G  ;3029.6      ;0.010157    ;3045.06     ;    1;   27.16    Mpc ;  -2.20       +2.20    ;T-F     ;2020ApJ...902..145K
541;NGC 5967                           ;G  ;2891.3      ;0.009691    ;2905.38     ;    1;   31.05    Mpc ;  -4.47       +4.47    ;T-F     ;2020ApJ...902..145K
542;IC 4964                            ;G  ;3156.2      ;0.010584    ;3172.99     ;    1;   39.45    Mpc ;  -3.73       +3.73    ;T-F     ;2020ApJ...902..145K
543;IC 5071                            ;G  ;3112.5      ;0.010437    ;3128.83     ;    1;   37.84    Mpc ;  -2.04       +2.04    ;T-F     ;2020ApJ...902..145K
544;NGC 6943                           ;G  ;3121.9      ;0.010468    ;3138.33     ;    1;   35.97    Mpc ;                       ;        ;2016AJ....152...50T
545;NGC 7400                           ;G  ;2997.4      ;0.010049    ;3012.54     ;    1;   44.26    Mpc ;                       ;        ;2016AJ....152...50T
546;NGC 7059                           ;G  ;1736.5      ;0.005809    ;1741.56     ;    1;   20.99    Mpc ;  -2.36       +2.36    ;T-F     ;2020ApJ...902..145K
547;ESO 289-48                         ;G  ;2847.7      ;0.009544    ;2861.35     ;    1;   37.84    Mpc ;  -5.45       +5.45    ;T-F     ;2020ApJ...902..145K
548;IC 5240                            ;G  ;1759.4      ;0.005886    ;1764.59     ;    1;   29.24    Mpc ;  -4.21       +4.21    ;T-F     ;2020ApJ...902..145K
549;ESO 221-2                          ;G  ;2971.6      ;0.009962    ;2986.47     ;    1;   30.06    Mpc ;                       ;        ;2016AJ....152...50T
550;NGC 7140                           ;G  ;2968.8      ;0.009952    ;2983.65     ;    1;   23.88    Mpc ;  -2.58       +2.58    ;T-F     ;2020ApJ...902..145K
551;NGC 7200                           ;G  ;2884        ;0.009667    ;2898.09     ;    1;   34.83    Mpc ;                       ;        ;2016AJ....152...50T
552;NGC 7196                           ;G  ;2914        ;0.009767    ;2928.07     ;    1;   45.29    Mpc ;                       ;        ;2016AJ....152...50T
553;ESO 237-49                         ;G  ;2918.3      ;0.009782    ;2932.64     ;    1;   34.83    Mpc ;  -3.14       +3.14    ;T-F     ;2020ApJ...902..145K
554;ESO 237-52                         ;G  ;2904.1      ;0.009734    ;2918.30     ;    1;   39.45    Mpc ;  -6.57       +6.57    ;T-F     ;2020ApJ...902..145K
555;ESO 289-10                         ;G  ;2758.1      ;0.009243    ;2770.90     ;    1;   38.55    Mpc ;  -3.30       +3.30    ;T-F     ;2020ApJ...902..145K
556;IC 5171                            ;G  ;2836.4      ;0.009506    ;2849.95     ;    1;   34.99    Mpc ;  -3.15       +3.15    ;T-F     ;2020ApJ...902..145K
557;ESO 271-22                         ;G  ;3009.1      ;0.010088    ;3024.35     ;    1;   39.99    Mpc ;  -3.96       +3.96    ;T-F     ;2020ApJ...902..145K
558;IC 4986                            ;G  ;2171.6      ;0.007270    ;2179.52     ;    1;   32.96    Mpc ;                       ;        ;2016AJ....152...50T
559;ESO 186-65                         ;G  ;3445        ;0.011558    ;3465.00     ;    1;   36.98    Mpc ;                       ;        ;2016AJ....152...50T
560;NGC 7029                           ;G  ;2797        ;0.009373    ;2809.95     ;    1;   37.67    Mpc ;                       ;        ;2016AJ....152...50T
561;IC 4694                            ;G  ;2774.3      ;0.009297    ;2787.26     ;    1;   39.99    Mpc ;  -5.04       +5.04    ;T-F     ;2020ApJ...902..145K
562;NGC 6887                           ;G  ;2714.0      ;0.009094    ;2726.40     ;    1;   34.20    Mpc ;  -2.92       +2.92    ;T-F     ;2020ApJ...902..145K
563;ESO 287-13                         ;G  ;2706.8      ;0.009070    ;2719.13     ;    1;   34.20    Mpc ;  -3.08       +3.08    ;T-F     ;2020ApJ...902..145K
564;ESO 285-48                         ;G  ;2726.8      ;0.009137    ;2739.31     ;    1;   32.06    Mpc ;  -2.45       +2.45    ;T-F     ;2020ApJ...902..145K
565;NGC 6754                           ;G  ;3236        ;0.010853    ;3253.65     ;    1;   39.26    Mpc ;  -4.42       +4.42    ;T-F     ;2020ApJ...902..145K
566;ESO 233-23                         ;G  ;3423        ;0.011484    ;3442.77     ;    1;   39.63    Mpc ;                       ;        ;2016AJ....152...50T
567;ESO 233-43                         ;G  ;3200.1      ;0.010732    ;3217.36     ;    1;   34.99    Mpc ;  -8.98       +8.98    ;T-F     ;2020ApJ...902..145K
568;ESO 284-24                         ;G  ;3135        ;0.010512    ;3151.56     ;    1;   35.81    Mpc ;  -4.51       +4.51    ;T-F     ;2020ApJ...902..145K
569;NGC 6909                           ;G  ;2702        ;0.009053    ;2714.02     ;    1;   35.81    Mpc ;                       ;        ;2016AJ....152...50T
570;ESO 340-8                          ;G  ;2821.3      ;0.009456    ;2834.70     ;    1;   47.42    Mpc ;                       ;        ;2016AJ....152...50T
571;NGC 6958                           ;G  ;2685        ;0.008996    ;2696.93     ;    1;   34.3     Mpc ;                       ;        ;2008MNRAS.389.1924F
572;SINGG HIPASS J2217-42              ;G  ;2197.0      ;0.007355    ;2205.11     ;    1;   31.9     Mpc ;                       ;        ;2007ApJ...661..801O
573;AGC 225998                         ;G  ;2235        ;0.007483    ;2243.39     ;    1;   34.9     Mpc ;                       ;        ;2007AJ....133.2569G
574;AGC 226056                         ;G  ;1990        ;0.006660    ;1996.65     ;    1;   31.8     Mpc ;                       ;        ;2007AJ....133.2569G
575;AGC 226055                         ;G  ;2200        ;0.007366    ;2208.13     ;    1;   34.5     Mpc ;                       ;        ;2007AJ....133.2569G
576;AGC 226054                         ;G  ;2111        ;0.007067    ;2118.48     ;    1;   33.3     Mpc ;                       ;        ;2007AJ....133.2569G
577;AGC 227927                         ;G  ;2629        ;0.008808    ;2640.63     ;    1;   38.87    Mpc ;                       ;        ;2008AJ....136..713K
578;LEDA 5057058                       ;G  ;2512        ;0.008415    ;2522.61     ;    1;   58.08    Mpc ;  -4.70       +4.70    ;T-F     ;2020ApJ...902..145K
579;HIPASS J0221-05                    ;G  ;2294.1      ;0.007682    ;2302.95     ;    1;   31.9     Mpc ;                       ;redshift;2006ApJS..165..307M
580;HIPASS J2202-20                    ;G  ;2608.3      ;0.008739    ;2619.75     ;    1;   38.6     Mpc ;                       ;redshift;2006ApJS..165..307M
581;LEDA 1382204                       ;G  ;2572        ;0.008616    ;2583.13     ;    1;   45.08    Mpc ; -15.42      +15.42    ;T-F     ;2020ApJ...902..145K
582;MCG+00-30-011                      ;G  ;1609        ;0.005382    ;1613.34     ;    1;   34.36    Mpc ;  -6.96       +6.96    ;T-F     ;2020ApJ...902..145K
583;MCG-02-15-001                      ;G  ;2719        ;0.009111    ;2731.44     ;    1;   29.38    Mpc ;  -2.25       +2.25    ;T-F     ;2020ApJ...902..145K
584;ESO 496-3                          ;G  ;2384        ;0.00799     ;2394.0      ;    1;   37.33    Mpc ;                       ;        ;2016AJ....152...50T
585;ESO 564-32                         ;G  ;2765.4      ;0.009267    ;2778.27     ;    1;   41.11    Mpc ;  -3.33       +3.33    ;T-F     ;2020ApJ...902..145K
586;2MASX J13390624-2017235            ;G  ;9506        ;0.032228    ;9661.61     ;    1;   31.48    Mpc ; -12.89      +12.89    ;T-F     ;2020ApJ...902..145K
587;MCG-03-56-006                      ;G  ;2760        ;0.009249    ;2772.82     ;    1;   36.64    Mpc ;  -6.76       +6.76    ;T-F     ;2020ApJ...902..145K
588;ESO 434-10                         ;G  ;2543        ;0.008519    ;2553.88     ;    1;   36.31    Mpc ;                       ;        ;2008ApJ...676..184T
589;MCG-01-37-003                      ;G  ;2735.1      ;0.009165    ;2747.69     ;    1;   33.57    Mpc ;                       ;        ;2016AJ....152...50T
590;IC 2095                            ;G  ;2833.8      ;0.009498    ;2847.32     ;    1;   31.05    Mpc ;  -6.43       +6.43    ;T-F     ;2020ApJ...902..145K
591;ESO 508-39                         ;G  ;2075        ;0.006946    ;2082.23     ;    1;   32.81    Mpc ;  -7.23       +7.23    ;T-F     ;2020ApJ...902..145K
592;ESO 384-5                          ;G  ;1639.3      ;0.005483    ;1643.81     ;    1;   34.36    Mpc ;                       ;        ;2016AJ....152...50T
593;ESO 385-31                         ;G  ;3113        ;0.010438    ;3129.33     ;    1;   36.98    Mpc ;  -7.16       +7.16    ;T-F     ;2020ApJ...902..145K
594;6dFGS gJ150223.6-173843            ;G  ;3090.4      ;0.010362    ;3106.49     ;    1;   35.65    Mpc ;  -4.33       +4.33    ;T-F     ;2020ApJ...902..145K
595;ESO 139-46                         ;G  ;2810.7      ;0.009420    ;2824.00     ;    1;   30.62    Mpc ;  -4.96       +4.96    ;T-F     ;2020ApJ...902..145K
596;ESO 107-16                         ;G  ;1791.9      ;0.005995    ;1797.29     ;    1;   27.29    Mpc ;  -3.19       +3.19    ;T-F     ;2020ApJ...902..145K
597;LEDA 983046                        ;G  ;2292        ;0.007675    ;2300.83     ;    1;   30.51    Mpc ;  -2.18       +2.18    ;redshift;2015ApJ...809..146B
598;LEDA 4001653                       ;G  ;2761        ;0.009253    ;2773.83     ;    1;   33.88    Mpc ;  -3.20       +3.20    ;T-F     ;2020ApJ...902..145K
599;SDSS J120820.68+123003.9           ;G  ;2320        ;0.007769    ;2329.05     ;    1;   36.0     Mpc ;                       ;        ;2007AJ....133.2569G
600;SDSS J121444.59+124722.7           ;G  ;2279        ;0.007631    ;2287.73     ;    1;   35.5     Mpc ;                       ;        ;2007AJ....133.2569G
601;AGC 226061                         ;G  ;2164        ;0.007245    ;2171.87     ;    1;   34.0     Mpc ;                       ;        ;2007AJ....133.2569G
602;AGC 226080                         ;G  ;2246        ;0.007520    ;2254.48     ;    1;   35.1     Mpc ;                       ;        ;2007AJ....133.2569G
603;SDSS J130022.12+125525.2           ;G  ;1920        ;0.006425    ;1926.19     ;    1;   31.0     Mpc ;                       ;        ;2007AJ....133.2569G
604;LEDA 5057356                       ;G  ;3680        ;0.012351    ;3702.87     ;    1;   32.51    Mpc ; -16.09      +16.09    ;T-F     ;2020ApJ...902..145K
605;ALFALFA 2-437                      ;G  ;2738        ;0.0092      ;2751        ;    1;   39.3     Mpc ;                       ;        ;2008AJ....135..588S
606;LEDA 1374673                       ;G  ;2547        ;0.008532    ;2557.91     ;    1;   38.55    Mpc ; -12.32      +12.32    ;T-F     ;2020ApJ...902..145K
607;LEDA 1397674                       ;G  ;2557        ;0.008566    ;2568.00     ;    1;   38.09    Mpc ;                       ;        ;2008AJ....136..713K
608;SDSS J121527.34+103044.5           ;G  ;1990        ;0.006660    ;1996.65     ;    1;   30.76    Mpc ;                       ;        ;2008AJ....136..713K
609;LEDA 1376175                       ;G  ;2072        ;0.006935    ;2079.21     ;    1;   31.76    Mpc ;                       ;        ;2008AJ....136..713K
610;SDSS J121639.61+085004.4           ;G  ;1979        ;0.006623    ;1985.58     ;    1;   30.55    Mpc ;                       ;        ;2008AJ....136..713K
611;SDSS J121800.18+080955.3           ;G  ;2000        ;0.006694    ;2006.72     ;    1;   30.78    Mpc ;                       ;        ;2008AJ....136..713K
612;SDSS J075812.43+110114.1           ;G  ;2342        ;0.007843    ;2351.22     ;    1;   38.47    Mpc ;  -2.93       +2.93    ;redshift;2015ApJ...809..146B
613;LEDA 1845056                       ;G  ;1222        ;0.004084    ;1224.50     ;    1;   39.26    Mpc ;  -5.12       +5.12    ;T-F     ;2020ApJ...902..145K
614;SDSS J161622.69+345405.2           ;G  ;2674        ;0.00896     ;2686.1      ;    1;   38.30    Mpc ;  -1.75       +1.75    ;redshift;2015ApJ...809..146B
615;LEDA 1360237                       ;G  ;1759        ;0.005885    ;1764.19     ;    1;   33.88    Mpc ;  -3.81       +3.81    ;T-F     ;2020ApJ...902..145K
616;LEDA 87204                         ;G  ;1503        ;0.005026    ;1506.79     ;    1;   32.36    Mpc ;  -3.20       +3.20    ;T-F     ;2020ApJ...902..145K
617;LEDA 1480186                       ;G  ;1125        ;0.003760    ;1127.12     ;    1;   39.99    Mpc ;  -3.60       +3.60    ;T-F     ;2020ApJ...902..145K
618;[KSW2012] 11                       ;G  ;2745        ;0.0092      ;2758        ;    1;   38.8     Mpc ;                       ;redshift;2012AJ....143..145K
619;LEDA 4001803                       ;G  ;2227        ;0.007456    ;2235.33     ;    1;   35.48    Mpc ;  -3.19       +3.19    ;T-F     ;2020ApJ...902..145K
620;LEDA 1304980                       ;G  ;1293        ;0.004322    ;1295.80     ;    1;   34.04    Mpc ;  -8.27       +8.27    ;T-F     ;2020ApJ...902..145K
621;LEDA 1323063                       ;G  ;1815        ;0.006073    ;1820.53     ;    1;   30.76    Mpc ;  -3.18       +3.18    ;T-F     ;2020ApJ...902..145K
622;SDSS J091001.72+325659.8           ;G  ;1436        ;0.00480     ;1439.0      ;    1;   31.78    Mpc ;  -2.00       +2.00    ;redshift;2015ApJ...809..146B
623;SDSS J162152.54+332903.2           ;G  ;2695        ;0.00903     ;2707.1      ;    1;   38.70    Mpc ;  -1.68       +1.68    ;redshift;2015ApJ...809..146B
624;LEDA 5057717                       ;G  ;5204        ;0.017512    ;5249.96     ;    1;   39.45    Mpc ;  -4.44       +4.44    ;T-F     ;2020ApJ...902..145K
625;LEDA 1948571                       ;G  ;4804        ;0.016155    ;4843.11     ;    1;   38.73    Mpc ;  -5.93       +5.93    ;T-F     ;2020ApJ...902..145K
626;SDSS J084225.82+063538.6           ;G  ;2264        ;0.007581    ;2272.61     ;    1;   36.96    Mpc ;  -2.68       +2.68    ;redshift;2015ApJ...809..146B
627;SDSS J090515.67+100233.5           ;G  ;2064        ;0.006909    ;2071.15     ;    1;   32.61    Mpc ;  -2.36       +2.36    ;redshift;2015ApJ...809..146B
628;SDSS J092217.12+274126.4           ;G  ;1930        ;0.006459    ;1936.25     ;    1;   30.83    Mpc ;  -1.97       +1.97    ;redshift;2015ApJ...809..146B
629;SDSS J104445.32+075955.6           ;G  ;2529        ;0.008472    ;2539.76     ;    1;   37.62    Mpc ;  -2.14       +2.14    ;redshift;2015ApJ...809..146B
630;LEDA 5060003                       ;G  ;1334        ;0.004460    ;1336.98     ;    1;   36.98    Mpc ; -10.15      +10.15    ;T-F     ;2020ApJ...902..145K
631;LEDA 1772328                       ;G  ;2159        ;0.007228    ;2166.83     ;    1;   30.84    Mpc ;  -2.00       +2.00    ;redshift;2015ApJ...809..146B
632;SDSS J144625.55+274949.0           ;G  ;2549        ;0.008539    ;2559.93     ;    1;   36.97    Mpc ;  -2.04       +2.04    ;redshift;2015ApJ...809..146B
633;LEDA 1799182                       ;G  ;1981        ;0.006630    ;1987.59     ;    1;   32.36    Mpc ;  -4.37       +4.37    ;T-F     ;2020ApJ...902..145K
634;LEDA 1770244                       ;G  ;2618        ;0.008771    ;2629.53     ;    1;   37.77    Mpc ;  -1.79       +1.79    ;redshift;2015ApJ...809..146B
635;SDSS J155913.58+064715.2           ;G  ;2468        ;0.008267    ;2478.24     ;    1;   34.28    Mpc ;  -1.89       +1.89    ;redshift;2015ApJ...809..146B
636;SDSS J160651.01+080928.6           ;G  ;2812        ;0.009424    ;2825.31     ;    1;   38.49    Mpc ;  -1.71       +1.71    ;redshift;2015ApJ...809..146B
637;SDSS J080132.23+212247.8           ;G  ;2124        ;0.00711     ;2131.5      ;    1;   31.64    Mpc ;  -2.57       +2.57    ;redshift;2015ApJ...809..146B
638;SDSS J082152.72+341938.1           ;G  ;2314        ;0.00775     ;2323.4      ;    1;   35.13    Mpc ;  -2.32       +2.32    ;redshift;2015ApJ...809..146B
639;SDSS J082939.90+310437.9           ;G  ;2136        ;0.00715     ;2143.5      ;    1;   32.86    Mpc ;  -2.18       +2.18    ;redshift;2015ApJ...809..146B
640;LEDA 5077313                       ;G  ;2040        ;0.006828    ;2046.99     ;    1;   34.67    Mpc ;  -4.21       +4.21    ;T-F     ;2020ApJ...902..145K
641;LEDA 3996879                       ;G  ;2201        ;0.007369    ;2209.14     ;    1;   62.52    Mpc ;  -5.35       +5.35    ;T-F     ;2020ApJ...902..145K
642;SDSS J090706.26+322219.5           ;G  ;1734        ;0.00580     ;1738.8      ;    1;   30.66    Mpc ;  -2.00       +2.00    ;redshift;2015ApJ...809..146B
643;LEDA 2064608                       ;G  ;2461        ;0.008243    ;2471.18     ;    1;   39.63    Mpc ;  -3.57       +3.57    ;T-F     ;2020ApJ...902..145K
644;SDSS J113327.39+335025.0           ;G  ;2554        ;0.008556    ;2564.97     ;    1;   38.23    Mpc ;  -1.64       +1.64    ;redshift;2015ApJ...809..146B
645;LEDA 2026905                       ;G  ;2517        ;0.008431    ;2527.66     ;    1;   37.50    Mpc ;  -3.04       +3.04    ;T-F     ;2020ApJ...902..145K
646;LEDA 1560780                       ;G  ;2125        ;0.007114    ;2132.58     ;    1;   32.20    Mpc ;  -1.93       +1.93    ;redshift;2015ApJ...809..146B
647;SDSS J121405.91+275405.4           ;G  ;2558        ;0.00857     ;2569.2      ;    1;   37.90    Mpc ;  -1.50       +1.50    ;redshift;2015ApJ...809..146B
648;SDSS J134913.00+331900.0           ;G  ;2164        ;0.007245    ;2171.87     ;    1;   31.93    Mpc ;  -1.86       +1.86    ;redshift;2015ApJ...809..146B
649;LEDA 1767195                       ;G  ;2433        ;0.00815     ;2443.3      ;    1;   34.60    Mpc ;  -2.07       +2.07    ;redshift;2015ApJ...809..146B
650;SDSS J140638.13+545947.4           ;G  ;1772        ;0.00593     ;1777.8      ;    1;   31.2000  Mpc ;                       ;redshift;2019A&A...631A..38L
651;LEDA 1672146                       ;G  ;2612        ;0.00875     ;2623.2      ;    1;   37.26    Mpc ;  -2.18       +2.18    ;redshift;2015ApJ...809..146B
652;LEDA 1982466                       ;G  ;2049        ;0.006858    ;2056.05     ;    1;   30.20    Mpc ;  -1.89       +1.89    ;redshift;2015ApJ...809..146B
653;SDSS J161213.40+263915.4           ;G  ;2520        ;0.00844     ;2530.2      ;    1;   36.73    Mpc ;  -1.86       +1.86    ;redshift;2015ApJ...809..146B
654;SDSS J161452.40+350428.4           ;G  ;2588        ;0.00867     ;2599.2      ;    1;   37.37    Mpc ;  -1.79       +1.79    ;redshift;2015ApJ...809..146B
655;LEDA 988359                        ;G  ;2907        ;0.009744    ;2921.23     ;    1;   39.94    Mpc ;  -1.89       +1.89    ;redshift;2015ApJ...809..146B
656;LEDA 1651298                       ;G  ;2971        ;0.009960    ;2985.87     ;    1;   36.81    Mpc ;  -3.31       +3.31    ;T-F     ;2020ApJ...902..145K
657;LEDA 1648312                       ;G  ;1844        ;0.006170    ;1849.71     ;    1;   35.16    Mpc ;  -3.01       +3.01    ;T-F     ;2020ApJ...902..145K
658;LEDA 1177602                       ;G  ;3051        ;0.01023     ;3066.9      ;    1;   36.81    Mpc ;  -2.98       +2.98    ;T-F     ;2020ApJ...902..145K
659;LEDA 1230424                       ;G  ;4816        ;0.016196    ;4855.31     ;    1;   35.81    Mpc ;  -5.96       +5.96    ;T-F     ;2020ApJ...902..145K
660;LEDA 1524207                       ;G  ;4947        ;0.016640    ;4988.50     ;    1;   34.99    Mpc ;  -4.09       +4.09    ;T-F     ;2020ApJ...902..145K
661;SDSS J165050.89+203812.8           ;G  ;2689        ;0.00901     ;2701.1      ;    1;   38.21    Mpc ;  -1.82       +1.82    ;redshift;2015ApJ...809..146B
662;LEDA 5807608                       ;G  ;2496        ;0.008361    ;2506.48     ;    1;   36.98    Mpc ;  -4.33       +4.33    ;T-F     ;2020ApJ...902..145K
663;LEDA 4577792                       ;G  ;1495        ;0.004999    ;1498.75     ;    1;   35.32    Mpc ;  -3.02       +3.02    ;T-F     ;2020ApJ...902..145K
664;LEDA 5807322                       ;G  ;2009        ;0.006724    ;2015.78     ;    1;   31.05    Mpc ;  -2.93       +2.93    ;T-F     ;2020ApJ...902..145K
================================================================================

