C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:59

maintype = G & redshift >0 & Distance.distance <  60 & Distance.distance  >= 50 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 801

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
412;UGC 4953                           ;G  ;2184        ;0.007312    ;2192.01     ;    1;   59.43    Mpc ;  -6.15       +6.15    ;T-F     ;2020ApJ...902..145K
413;Z 180-59                           ;G  ;3377        ;0.01133     ;3396.6      ;    1;   57.54    Mpc ;  -4.92       +4.92    ;T-F     ;2020ApJ...902..145K
414;UGC 4925                           ;G  ;2998        ;0.01005     ;3012.9      ;    1;   51.05    Mpc ;  -3.45       +3.45    ;T-F     ;2020ApJ...902..145K
415;UGC 4890                           ;G  ;3671        ;0.01232     ;3693.4      ;    1;   57.81    Mpc ;  -5.46       +5.46    ;T-F     ;2020ApJ...902..145K
416;Z 34-29                            ;G  ;3621        ;0.012152    ;3643.13     ;    1;   55.72    Mpc ;  -4.01       +4.01    ;T-F     ;2020ApJ...902..145K
417;UGC 4857                           ;G  ;3768        ;0.01265     ;3792.4      ;    1;   52.00    Mpc ;  -3.98       +3.98    ;T-F     ;2020ApJ...902..145K
418;MCG+06-21-041                      ;G  ;4350        ;0.014617    ;4382.02     ;    1;   54.45    Mpc ;  -5.39       +5.39    ;T-F     ;2020ApJ...902..145K
419;UGC 5078                           ;G  ;3216        ;0.010786    ;3233.44     ;    1;   51.52    Mpc ;  -3.48       +3.48    ;T-F     ;2020ApJ...902..145K
420;Z 34-52                            ;G  ;3551        ;0.011916    ;3572.28     ;    1;   53.21    Mpc ;  -4.31       +4.31    ;T-F     ;2020ApJ...902..145K
421;NGC 2884                           ;G  ;5188.8      ;0.017460    ;5234.49     ;    1;   57.02    Mpc ;                       ;        ;2016AJ....152...50T
422;MCG-03-24-011                      ;G  ;3811        ;0.0128      ;3836        ;    1;   58.61    Mpc ;  -5.54       +5.54    ;T-F     ;2020ApJ...902..145K
423;Z 122-22                           ;G  ;3600        ;0.01208     ;3621.5      ;    1;   59.70    Mpc ;  -4.84       +4.84    ;T-F     ;2020ApJ...902..145K
424;UGC 5116                           ;G  ;5536        ;0.01864     ;5588.1      ;    1;   52.24    Mpc ;  -4.23       +4.23    ;T-F     ;2020ApJ...902..145K
425;Mrk 1234                           ;G  ;4817        ;0.016199    ;4856.33     ;    1;   50.12    Mpc ;                       ;        ;2016AJ....152...50T
426;2MASX J09342200-1358523            ;G  ;3877        ;0.01302     ;3902.0      ;    1;   59.70    Mpc ;                       ;        ;2016AJ....152...50T
427;NGC 2921                           ;G  ;2953.7      ;0.009902    ;2968.40     ;    1;   46.56    Mpc ;  -4.82       +4.82    ;T-F     ;2020ApJ...902..145K
428;Z 92-49                            ;G  ;3777        ;0.01268     ;3801.4      ;    1;   73.79    Mpc ;  -6.31       +6.31    ;T-F     ;2020ApJ...902..145K
429;Z 63-73                            ;G  ;3623        ;0.01216     ;3645.5      ;    1;   40.74    Mpc ;                       ;        ;2016AJ....152...50T
430;NGC 2987                           ;G  ;3741        ;0.012557    ;3764.64     ;    1;   50.35    Mpc ;  -3.40       +3.40    ;T-F     ;2020ApJ...902..145K
431;MCG-02-25-025                      ;G  ;3995        ;0.013416    ;4021.98     ;    1;   59.98    Mpc ;  -7.29       +7.29    ;T-F     ;2020ApJ...902..145K
432;Z 182-62                           ;G  ;5180        ;0.017431    ;5225.54     ;    1;   55.21    Mpc ;  -7.45       +7.45    ;T-F     ;2020ApJ...902..145K
433;UGC 5431                           ;G  ;3962        ;0.013304    ;3988.53     ;    1;   56.75    Mpc ;  -3.83       +3.83    ;T-F     ;2020ApJ...902..145K
434;UGC 5378                           ;G  ;4132        ;0.01388     ;4161.1      ;    1;   58.88    Mpc ;  -4.77       +4.77    ;T-F     ;2020ApJ...902..145K
435;Z 64-71                            ;G  ;2758        ;0.009242    ;2770.80     ;    1;   43.25    Mpc ;  -3.31       +3.31    ;T-F     ;2020ApJ...902..145K
436;UGC 5537                           ;G  ;3730        ;0.01252     ;3753.4      ;    1;   57.54    Mpc ;  -3.37       +3.37    ;T-F     ;2020ApJ...902..145K
437;MCG-02-26-031                      ;G  ;3469        ;0.011639    ;3489.30     ;    1;   33.42    Mpc ;                       ;        ;2016AJ....152...50T
438;NGC 3200                           ;G  ;3509.6      ;0.011776    ;3530.39     ;    1;   48.75    Mpc ;  -3.73       +3.73    ;T-F     ;2020ApJ...902..145K
439;IC 2561                            ;G  ;4478        ;0.01505     ;4511.9      ;    1;   54.95    Mpc ;  -4.70       +4.70    ;T-F     ;2020ApJ...902..145K
440;NGC 3221                           ;G  ;4097        ;0.01376     ;4125.1      ;    1;   51.76    Mpc ;  -2.80       +2.80    ;T-F     ;2020ApJ...902..145K
441;UGC 5651                           ;G  ;5568        ;0.018749    ;5620.68     ;    1;   55.72    Mpc ;  -9.53       +9.53    ;T-F     ;2020ApJ...902..145K
442;LEDA 91012                         ;G  ;2432        ;0.008145    ;2441.95     ;    1;   50.35    Mpc ;  -3.85       +3.85    ;T-F     ;2020ApJ...902..145K
443;Z 37-43                            ;G  ;3523        ;0.01182     ;3543.5      ;    1;   53.49    Mpc ;  -2.32       +2.32    ;redshift;2015ApJ...809..146B
444;UGC 5687                           ;G  ;3540        ;0.01188     ;3561.5      ;    1;   47.64    Mpc ;  -2.79       +2.79    ;T-F     ;2020ApJ...902..145K
445;ESO 567-49                         ;G  ;6804        ;0.02296     ;6883.0      ;    1;   59.43    Mpc ;                       ;        ;2016AJ....152...50T
446;UGC 5758                           ;G  ;2957        ;0.009913    ;2971.73     ;    1;   57.81    Mpc ;  -7.02       +7.02    ;T-F     ;2020ApJ...902..145K
447;ESO 375-56                         ;G  ;3936        ;0.013216    ;3962.18     ;    1;   59.43    Mpc ; -11.23      +11.23    ;T-F     ;2020ApJ...902..145K
448;ESO 569-3                          ;G  ;3735        ;0.012537    ;3758.56     ;    1;   58.34    Mpc ;  -7.88       +7.88    ;T-F     ;2020ApJ...902..145K
449;ESO 501-90                         ;G  ;3884        ;0.013041    ;3909.49     ;    1;   57.02    Mpc ;  -7.18       +7.18    ;T-F     ;2020ApJ...902..145K
450;LEDA 91091                         ;G  ;3306        ;0.01109     ;3324.7      ;    1;   75.16    Mpc ;  -5.07       +5.07    ;T-F     ;2020ApJ...902..145K
451;MCG-02-29-008                      ;G  ;3928        ;0.013189    ;3954.07     ;    1;   55.21    Mpc ;  -8.45       +8.45    ;T-F     ;2020ApJ...902..145K
452;LEDA 87026                         ;G  ;2106        ;0.007050    ;2113.45     ;    1;   56.49    Mpc ;  -5.59       +5.59    ;T-F     ;2020ApJ...902..145K
453;Z 156-48                           ;G  ;3774        ;0.01267     ;3798.4      ;    1;   77.27    Mpc ;  -7.65       +7.65    ;T-F     ;2020ApJ...902..145K
454;UGC 6517                           ;G  ;2494        ;0.008354    ;2504.46     ;    1;   50.58    Mpc ;  -6.37       +6.37    ;T-F     ;2020ApJ...902..145K
455;LEDA 35526                         ;G  ;2500        ;0.008374    ;2510.51     ;    1;   52.00    Mpc ;  -3.98       +3.98    ;T-F     ;2020ApJ...902..145K
456;LEDA 1806179                       ;G  ;3546        ;0.01190     ;3567.5      ;    1;   54.58    Mpc ;  -2.93       +2.93    ;redshift;2015ApJ...809..146B
457;2MASX J11323769-1635109            ;G  ;3760        ;0.012622    ;3783.88     ;    1;   62.52    Mpc ;                       ;        ;2016AJ....152...50T
458;ESO 571-4                          ;G  ;3556        ;0.011933    ;3577.34     ;    1;   41.88    Mpc ;                       ;        ;2016AJ....152...50T
459;ESO 378-11                         ;G  ;3246.0      ;0.010887    ;3263.76     ;    1;   42.85    Mpc ;  -4.24       +4.24    ;T-F     ;2020ApJ...902..145K
460;ESO 265-33                         ;G  ;4174        ;0.01402     ;4203.0      ;    1;   61.09    Mpc ;                       ;        ;2016AJ....152...50T
461;Z 97-132                           ;G  ;3318        ;0.01113     ;3336.7      ;    1;   50.3     Mpc ;                       ;        ;2007AJ....133.2569G
462;LEDA 1355107                       ;G  ;3815        ;0.012807    ;3839.59     ;    1;   55.37    Mpc ;                       ;        ;2008AJ....136..713K
463;LEDA 37188                         ;G  ;3410        ;0.01144     ;3429.6      ;    1;   51.36    Mpc ;  -3.50       +3.50    ;redshift;2015ApJ...809..146B
464;UGC 6890                           ;G  ;3223        ;0.010809    ;3240.51     ;    1;   52.24    Mpc ;  -4.23       +4.23    ;T-F     ;2020ApJ...902..145K
465;NGC 3942                           ;G  ;3722.5      ;0.012495    ;3745.90     ;    1;   53.21    Mpc ;  -7.18       +7.18    ;T-F     ;2020ApJ...902..145K
466;LEDA 91165                         ;G  ;3266        ;0.010954    ;3283.99     ;    1;   52.00    Mpc ;  -4.21       +4.21    ;T-F     ;2020ApJ...902..145K
467;Z 69-72                            ;G  ;2240        ;0.007500    ;2248.43     ;    1;   48.98    Mpc ;  -4.85       +4.85    ;T-F     ;2020ApJ...902..145K
468;LEDA 1229057                       ;G  ;2004        ;0.006707    ;2010.74     ;    1;   50.12    Mpc ; -18.04      +18.04    ;T-F     ;2020ApJ...902..145K
469;ESO 267-11                         ;G  ;4507        ;0.015150    ;4541.86     ;    1;   55.46    Mpc ;                       ;        ;2016AJ....152...50T
470;IC 768                             ;G  ;3984        ;0.01338     ;4011.2      ;    1;   57.54    Mpc ;  -4.66       +4.66    ;T-F     ;2020ApJ...902..145K
471;Z 42-27                            ;G  ;3742        ;0.01256     ;3765.4      ;    1;   59.98    Mpc ; -16.73      +16.73    ;T-F     ;2020ApJ...902..145K
472;IC 3136                            ;G  ;5542        ;0.01866     ;5594.1      ;    1;   55.21    Mpc ;  -4.72       +4.72    ;T-F     ;2020ApJ...902..145K
473;ESO 380-14                         ;G  ;3916        ;0.013149    ;3941.97     ;    1;   56.49    Mpc ;                       ;        ;2016AJ....152...50T
474;UGC 7516                           ;G  ;5324        ;0.01792     ;5372.3      ;    1;   55.72    Mpc ;  -4.51       +4.51    ;T-F     ;2020ApJ...902..145K
475;UGC 7644                           ;G  ;4182        ;0.01405     ;4212.1      ;    1;   51.76    Mpc ;  -2.80       +2.80    ;T-F     ;2020ApJ...902..145K
476;Z 42-142                           ;G  ;4103        ;0.01378     ;4131.1      ;    1;   54.20    Mpc ;  -4.15       +4.15    ;T-F     ;2020ApJ...902..145K
477;LEDA 91195                         ;G  ;1809        ;0.006052    ;1814.49     ;    1;   50.82    Mpc ; -14.18      +14.18    ;T-F     ;2020ApJ...902..145K
478;ESO 506-18                         ;G  ;2815        ;0.009434    ;2828.34     ;    1;   50.35    Mpc ;  -9.06       +9.06    ;T-F     ;2020ApJ...902..145K
479;ESO 380-29                         ;G  ;4060.2      ;0.013636    ;4088.07     ;    1;   52.00    Mpc ;                       ;        ;2016AJ....152...50T
480;IC 3723                            ;G  ;5346        ;0.017994    ;5394.53     ;    1;   50.12    Mpc ; -10.15      +10.15    ;T-F     ;2020ApJ...902..145K
481;MCG+07-26-030                      ;G  ;3875        ;0.01301     ;3900.3      ;    1;   59.98    Mpc ;  -8.91       +8.91    ;T-F     ;2020ApJ...902..145K
482;LEDA 2043902                       ;G  ;4186        ;0.014062    ;4215.64     ;    1;   56.49    Mpc ;  -6.10       +6.10    ;T-F     ;2020ApJ...902..145K
483;LEDA 5059221                       ;G  ;1816        ;0.006076    ;1821.53     ;    1;   55.46    Mpc ;  -5.24       +5.24    ;T-F     ;2020ApJ...902..145K
484;UGC 7800                           ;G  ;3727        ;0.01251     ;3750.4      ;    1;   59.43    Mpc ;  -3.74       +3.74    ;T-F     ;2020ApJ...902..145K
485;LEDA 91219                         ;G  ;1806        ;0.006042    ;1811.47     ;    1;   51.05    Mpc ; -15.62      +15.62    ;T-F     ;2020ApJ...902..145K
486;MCG-02-32-023                      ;G  ;4347        ;0.014607    ;4378.98     ;    1;   57.54    Mpc ;  -6.99       +6.99    ;T-F     ;2020ApJ...902..145K
487;ESO 442-15                         ;G  ;8897        ;0.03013     ;9032.7      ;    1;   54.20    Mpc ;                       ;        ;2016AJ....152...50T
488;LEDA 3091848                       ;G  ;3603        ;0.01209     ;3624.5      ;    1;   56.85    Mpc ;  -3.11       +3.11    ;redshift;2015ApJ...809..146B
489;NGC 4786                           ;G  ;4601        ;0.015467    ;4636.89     ;    1;   54.95    Mpc ;                       ;        ;2016AJ....152...50T
490;MCG+03-33-032                      ;G  ;2965        ;0.009940    ;2979.81     ;    1;   52.48    Mpc ;  -4.01       +4.01    ;T-F     ;2020ApJ...902..145K
491;UGC 8056                           ;G  ;2697        ;0.009037    ;2709.24     ;    1;   48.75    Mpc ;  -4.39       +4.39    ;T-F     ;2020ApJ...902..145K
492;LEDA 1292036                       ;G  ;2867        ;0.009609    ;2880.84     ;    1;   51.29    Mpc ;  -4.62       +4.62    ;T-F     ;2020ApJ...902..145K
493;2MFGC 10271                        ;G  ;3870        ;0.012993    ;3895.30     ;    1;   59.43    Mpc ;  -8.29       +8.29    ;T-F     ;2020ApJ...902..145K
494;NGC 4830                           ;G  ;3323        ;0.011148    ;3342.09     ;    1;   42.85    Mpc ;                       ;        ;2016AJ....152...50T
495;IC 4204                            ;G  ;3265        ;0.01095     ;3282.7      ;    1;   51.29    Mpc ;  -3.69       +3.69    ;T-F     ;2020ApJ...902..145K
496;NGC 5020                           ;G  ;3363        ;0.011281    ;3382.08     ;    1;   50.4     Mpc ;                       ;        ;2007AJ....133.2569G
497;Z 72-22                            ;G  ;3356        ;0.011258    ;3375.00     ;    1;   61.66    Mpc ;  -6.10       +6.10    ;T-F     ;2020ApJ...902..145K
498;UGC 8255                           ;G  ;3348        ;0.01123     ;3366.7      ;    1;   52.48    Mpc ;                       ;        ;2016AJ....152...50T
499;LEDA 1417783                       ;G  ;3369        ;0.011302    ;3388.14     ;    1;   50.5     Mpc ;                       ;        ;2007AJ....133.2569G
500;Z 72-15                            ;G  ;3970        ;0.01333     ;3996.2      ;    1;   39.81    Mpc ;  -4.12       +4.12    ;T-F     ;2020ApJ...902..145K
501;UGC 8296                           ;G  ;3989        ;0.013396    ;4015.90     ;    1;   57.41    Mpc ;                       ;        ;2008AJ....136..713K
502;2dFGRS TGN195Z265                  ;G  ;3990        ;0.0134      ;4017        ;    1;   55.98    Mpc ;                       ;        ;2016AJ....152...50T
503;Z 101-59                           ;G  ;6562        ;0.022133    ;6635.41     ;    1;   52.48    Mpc ;  -4.96       +4.96    ;T-F     ;2020ApJ...902..145K
504;2MASX J13260133-2255351            ;G  ;5385        ;0.018127    ;5434.24     ;    1;   59.16    Mpc ;                       ;        ;2016AJ....152...50T
505;UGC 8534                           ;G  ;5227        ;0.01759     ;5273.3      ;    1;   54.95    Mpc ;  -5.94       +5.94    ;T-F     ;2020ApJ...902..145K
506;LEDA 91295                         ;G  ;4165        ;0.013991    ;4194.34     ;    1;   58.34    Mpc ; -10.76      +10.76    ;T-F     ;2020ApJ...902..145K
507;IC 4315                            ;G  ;5098        ;0.017152    ;5142.04     ;    1;   59.43    Mpc ;                       ;        ;2016AJ....152...50T
508;UGC 8762                           ;G  ;3406        ;0.011426    ;3425.57     ;    1;   50.12    Mpc ;  -6.09       +6.09    ;T-F     ;2020ApJ...902..145K
509;UGC 8917                           ;G  ;3707        ;0.01244     ;3730.0      ;    1;   52.00    Mpc ;                       ;        ;2016AJ....152...50T
510;LEDA 89642                         ;G  ;2308        ;0.007729    ;2316.95     ;    1;   53.21    Mpc ;  -4.55       +4.55    ;T-F     ;2020ApJ...902..145K
511;IC 967                             ;G  ;3832        ;0.012865    ;3856.81     ;    1;   50.82    Mpc ;  -3.43       +3.43    ;T-F     ;2020ApJ...902..145K
512;UGC 8906                           ;G  ;4165        ;0.01399     ;4194.1      ;    1;   54.95    Mpc ;  -3.46       +3.46    ;T-F     ;2020ApJ...902..145K
513;NGC 5387                           ;G  ;5177        ;0.01742     ;5222.4      ;    1;   56.75    Mpc ;  -3.06       +3.06    ;T-F     ;2020ApJ...902..145K
514;UGC 8924                           ;G  ;3573        ;0.01199     ;3594.5      ;    1;   46.56    Mpc ;  -2.93       +2.93    ;T-F     ;2020ApJ...902..145K
515;IC 4358                            ;G  ;3316.6      ;0.011125    ;3335.15     ;    1;   52.48    Mpc ;  -7.08       +7.08    ;T-F     ;2020ApJ...902..145K
516;LEDA 89838                         ;G  ;4494        ;0.015104    ;4528.19     ;    1;   57.02    Mpc ;                       ;        ;2016AJ....152...50T
517;LEDA 91337                         ;G  ;2294        ;0.007681    ;2302.84     ;    1;   55.98    Mpc ;  -4.79       +4.79    ;T-F     ;2020ApJ...902..145K
518;Z 103-102                          ;G  ;2389        ;0.008001    ;2398.60     ;    1;   53.95    Mpc ;  -5.10       +5.10    ;T-F     ;2020ApJ...902..145K
519;Z 74-95                            ;G  ;4187        ;0.014065    ;4216.65     ;    1;   54.20    Mpc ; -10.00      +10.00    ;T-F     ;2020ApJ...902..145K
520;LEDA 89864                         ;G  ;4415        ;0.014837    ;4447.99     ;    1;   50.82    Mpc ;                       ;        ;2016AJ....152...50T
521;ESO 325-55                         ;G  ;4030        ;0.013534    ;4057.45     ;    1;   57.28    Mpc ;  -6.44       +6.44    ;T-F     ;2020ApJ...902..145K
522;UGC 9138                           ;G  ;4597        ;0.015453    ;4632.79     ;    1;   58.08    Mpc ;  -3.40       +3.40    ;T-F     ;2020ApJ...902..145K
523;2dFGRS TGN145Z260                  ;G  ;2726.8      ;0.009137    ;2739.31     ;    1;   53.21    Mpc ; -10.06      +10.06    ;T-F     ;2020ApJ...902..145K
524;ESO 511-16                         ;G  ;6304        ;0.021254    ;6371.70     ;    1;   59.98    Mpc ;                       ;        ;2016AJ....152...50T
525;ESO 446-49                         ;G  ;3829        ;0.012856    ;3854.13     ;    1;   42.07    Mpc ;                       ;        ;2016AJ....152...50T
526;ESO 385-8                          ;G  ;3749        ;0.012584    ;3772.74     ;    1;   57.81    Mpc ;  -7.02       +7.02    ;T-F     ;2020ApJ...902..145K
527;UGC 9279                           ;G  ;4097        ;0.013761    ;4125.38     ;    1;   61.66    Mpc ;  -4.72       +4.72    ;T-F     ;2020ApJ...902..145K
528;Z 133-90                           ;G  ;6038        ;0.020348    ;6100.05     ;    1;   61.94    Mpc ;  -9.76       +9.76    ;T-F     ;2020ApJ...902..145K
529;Z 75-61                            ;G  ;2191        ;0.007335    ;2199.07     ;    1;   47.86    Mpc ;  -3.45       +3.45    ;T-F     ;2020ApJ...902..145K
530;MCG-02-37-006                      ;G  ;4143.8      ;0.013919    ;4172.84     ;    1;   52.00    Mpc ;  -7.25       +7.25    ;T-F     ;2020ApJ...902..145K
531;IC 4421                            ;G  ;3601        ;0.012085    ;3622.99     ;    1;   52.9     Mpc ;                       ;        ;2008MNRAS.389.1924F
532;IC 4451                            ;G  ;4033        ;0.013546    ;4060.99     ;    1;   53.21    Mpc ;                       ;        ;2016AJ....152...50T
533;NGC 5709                           ;G  ;3691        ;0.01239     ;3714.4      ;    1;   55.72    Mpc ;  -3.26       +3.26    ;T-F     ;2020ApJ...902..145K
534;NGC 5726                           ;G  ;3440        ;0.011541    ;3459.90     ;    1;   34.20    Mpc ;                       ;        ;2016AJ....152...50T
535;MCG-02-38-022                      ;G  ;2583        ;0.008653    ;2594.22     ;    1;   50.12    Mpc ;  -6.09       +6.09    ;T-F     ;2020ApJ...902..145K
536;ESO 581-4                          ;G  ;3803.7      ;0.012769    ;3828.14     ;    1;   51.52    Mpc ;                       ;        ;2016AJ....152...50T
537;ESO 581-11                         ;G  ;3231.7      ;0.010839    ;3249.31     ;    1;   53.70    Mpc ;  -7.25       +7.25    ;T-F     ;2020ApJ...902..145K
538;ESO 580-49                         ;G  ;3978        ;0.013358    ;4004.75     ;    1;   49.20    Mpc ;  -4.43       +4.43    ;T-F     ;2020ApJ...902..145K
539;ESO 329-15                         ;G  ;4385        ;0.014737    ;4418.04     ;    1;   48.08    Mpc ;                       ;        ;2016AJ....152...50T
540;ESO 281-38                         ;G  ;4971.8      ;0.016724    ;5013.72     ;    1;   54.20    Mpc ;  -4.88       +4.88    ;T-F     ;2020ApJ...902..145K
541;ESO 337-2                          ;G  ;4855        ;0.01633     ;4895.0      ;    1;   59.70    Mpc ;                       ;        ;2016AJ....152...50T
542;ESO 395-4                          ;G  ;4845        ;0.016295    ;4885.12     ;    1;   52.72    Mpc ;                       ;        ;2016AJ....152...50T
543;ESO 462-10                         ;G  ;3094.8      ;0.010377    ;3110.94     ;    1;   68.87    Mpc ; -13.64      +13.64    ;T-F     ;2020ApJ...902..145K
544;ESO 452-8                          ;G  ;4831        ;0.016246    ;4870.56     ;    1;   54.95    Mpc ;  -6.68       +6.68    ;T-F     ;2020ApJ...902..145K
545;ESO 528-11                         ;G  ;6078        ;0.020484    ;6140.88     ;    1;   55.46    Mpc ; -10.73      +10.73    ;T-F     ;2020ApJ...902..145K
546;ESO 517-11                         ;G  ;4110        ;0.013805    ;4138.56     ;    1;   57.02    Mpc ;  -6.67       +6.67    ;T-F     ;2020ApJ...902..145K
547;ESO 519-9                          ;G  ;6341        ;0.021380    ;6409.50     ;    1;   66.99    Mpc ;  -5.12       +5.12    ;T-F     ;2020ApJ...902..145K
548;ESO 581-23                         ;G  ;3420        ;0.011474    ;3439.73     ;    1;   51.52    Mpc ;                       ;        ;2016AJ....152...50T
549;ESO 586-2                          ;G  ;6544.4      ;0.022073    ;6617.42     ;    1;   50.58    Mpc ;                       ;        ;2016AJ....152...50T
550;6dFGS gJ150633.3-124301            ;G  ;2322.0      ;0.007776    ;2331.06     ;    1;   45.71    Mpc ;  -5.14       +5.14    ;T-F     ;2020ApJ...902..145K
551;NGC 5891                           ;G  ;3089        ;0.010357    ;3105.08     ;    1;   51.29    Mpc ;  -8.54       +8.54    ;T-F     ;2020ApJ...902..145K
552;NGC 6865                           ;G  ;4723        ;0.01588     ;4761.0      ;    1;   47.21    Mpc ;                       ;        ;2016AJ....152...50T
553;6dFGS gJ204006.1-042007            ;G  ;4004        ;0.013446    ;4031.10     ;    1;   57.28    Mpc ;  -7.99       +7.99    ;T-F     ;2020ApJ...902..145K
554;MCG+00-52-017                      ;G  ;5593        ;0.0188      ;5646        ;    1;   57.81    Mpc ;  -5.20       +5.20    ;T-F     ;2020ApJ...902..145K
555;LEDA 91520                         ;G  ;5333        ;0.017950    ;5381.29     ;    1;   55.72    Mpc ;  -4.01       +4.01    ;T-F     ;2020ApJ...902..145K
556;MCG+00-51-012                      ;G  ;5470        ;0.018415    ;5520.83     ;    1;   58.61    Mpc ; -11.08      +11.08    ;T-F     ;2020ApJ...902..145K
557;NGC 6964                           ;G  ;3768        ;0.01265     ;3792.4      ;    1;   55       Mpc ;                       ;        ;2007ApJS..173..185G
558;UGC 10027                          ;G  ;3300        ;0.011069    ;3318.36     ;    1;   51.76    Mpc ;  -3.73       +3.73    ;T-F     ;2020ApJ...902..145K
559;2MASX J19392920+0620543            ;G  ;5836        ;0.019660    ;5893.93     ;    1;   58.34    Mpc ; -13.92      +13.92    ;T-F     ;2020ApJ...902..145K
560;Z 397-5                            ;G  ;3185        ;0.010681    ;3202.10     ;    1;   53.46    Mpc ;  -9.86       +9.86    ;T-F     ;2020ApJ...902..145K
561;UGC 11498                          ;G  ;3262        ;0.010941    ;3279.94     ;    1;   44.06    Mpc ;  -3.96       +3.96    ;T-F     ;2020ApJ...902..145K
562;2MASX J20072152+0626440            ;G  ;5666        ;0.019082    ;5720.57     ;    1;   55.21    Mpc ;  -7.70       +7.70    ;T-F     ;2020ApJ...902..145K
563;UGC 10042                          ;G  ;4222        ;0.014184    ;4252.15     ;    1;   57.02    Mpc ;  -3.34       +3.34    ;T-F     ;2020ApJ...902..145K
564;UGC 11549                          ;G  ;4984        ;0.016765    ;5026.13     ;    1;   53.95    Mpc ;  -4.86       +4.86    ;T-F     ;2020ApJ...902..145K
565;LEDA 1346814                       ;G  ;4038        ;0.01356     ;4065.2      ;    1;   56.34    Mpc ;  -2.82       +2.82    ;redshift;2015ApJ...809..146B
566;Z 80-42                            ;G  ;5100        ;0.01716     ;5144.4      ;    1;   57.02    Mpc ;  -3.59       +3.59    ;T-F     ;2020ApJ...902..145K
567;UGC 9901                           ;G  ;3163        ;0.010607    ;3179.86     ;    1;   46.34    Mpc ;  -2.92       +2.92    ;T-F     ;2020ApJ...902..145K
568;UGC 11552                          ;G  ;4527        ;0.015216    ;4561.70     ;    1;   56.23    Mpc ;  -3.29       +3.29    ;T-F     ;2020ApJ...902..145K
569;UGC 9900                           ;G  ;4085        ;0.01372     ;4113.2      ;    1;   57.01    Mpc ;  -2.00       +2.00    ;redshift;2015ApJ...809..146B
570;UGC 11188                          ;G  ;5284        ;0.017784    ;5331.40     ;    1;   60.26    Mpc ;  -7.32       +7.32    ;T-F     ;2020ApJ...902..145K
571;2MASX J18591639+1919573            ;G  ;5101        ;0.017162    ;5145.15     ;    1;   66.99    Mpc ;  -5.12       +5.12    ;T-F     ;2020ApJ...902..145K
572;2MASX J19502869+1822386            ;G  ;3970        ;0.013331    ;3996.64     ;    1;   59.43    Mpc ;  -5.62       +5.62    ;T-F     ;2020ApJ...902..145K
573;UGC 10220                          ;G  ;3324        ;0.01115     ;3342.7      ;    1;   59.43    Mpc ;  -8.02       +8.02    ;T-F     ;2020ApJ...902..145K
574;UGC 10327                          ;G  ;4263        ;0.014322    ;4293.75     ;    1;   55.21    Mpc ;  -5.47       +5.47    ;T-F     ;2020ApJ...902..145K
575;UGC 11243                          ;G  ;4335        ;0.014566    ;4366.80     ;    1;   52.97    Mpc ;  -7.15       +7.15    ;T-F     ;2020ApJ...902..145K
576;UGC 11323                          ;G  ;4110        ;0.013805    ;4138.56     ;    1;   55.72    Mpc ;  -7.02       +7.02    ;T-F     ;2020ApJ...902..145K
577;UGC 11582                          ;G  ;3708        ;0.012446    ;3731.22     ;    1;   54.95    Mpc ;  -9.89       +9.89    ;T-F     ;2020ApJ...902..145K
578;NGC 6674                           ;G  ;3429        ;0.011504    ;3448.84     ;    1;   44.67    Mpc ;  -5.03       +5.03    ;T-F     ;2020ApJ...902..145K
579;UGC 11371                          ;G  ;3750        ;0.012588    ;3773.75     ;    1;   57.54    Mpc ;  -5.70       +5.70    ;T-F     ;2020ApJ...902..145K
580;UGC 11162                          ;G  ;4618        ;0.015524    ;4654.12     ;    1;   53.70    Mpc ;  -6.28       +6.28    ;T-F     ;2020ApJ...902..145K
581;UGC 11254                          ;G  ;4987        ;0.016776    ;5029.18     ;    1;   56.49    Mpc ;  -4.83       +4.83    ;T-F     ;2020ApJ...902..145K
582;LEDA 1867944                       ;G  ;4340        ;0.014583    ;4371.87     ;    1;   51.52    Mpc ;  -4.41       +4.41    ;T-F     ;2020ApJ...902..145K
583;UGC 11426                          ;G  ;4453        ;0.014966    ;4486.57     ;    1;   50.82    Mpc ;  -5.95       +5.95    ;T-F     ;2020ApJ...902..145K
584;UGC 11132                          ;G  ;2836        ;0.009505    ;2849.54     ;    1;   48.31    Mpc ;  -3.91       +3.91    ;T-F     ;2020ApJ...902..145K
585;UGC 11140                          ;G  ;2817        ;0.009441    ;2830.36     ;    1;   51.52    Mpc ;  -3.94       +3.94    ;T-F     ;2020ApJ...902..145K
586;UGC 11433                          ;G  ;4437        ;0.014911    ;4470.33     ;    1;   53.70    Mpc ;  -6.77       +6.77    ;T-F     ;2020ApJ...902..145K
587;2MASX J20493965+2936291            ;G  ;4771        ;0.016043    ;4809.58     ;    1;   59.70    Mpc ;  -6.99       +6.99    ;T-F     ;2020ApJ...902..145K
588;NGC 1930                           ;G  ;4220        ;0.014176    ;4249.86     ;    1;   56.75    Mpc ;                       ;        ;2016AJ....152...50T
